Match Number,Round Number,Date,Location,Home Team,Away Team,Result
250,28,05/04/2026 16:00,Papara Park,Trabzonspor,Galatasaray,
251,28,05/04/2026 16:00,Atatürk Olympic Stadium,Karagumruk,Rizespor,
252,28,05/04/2026 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Kayserispor,
253,29,12/04/2026 16:00,TBA,Eyupspor,Samsunspor,
254,29,12/04/2026 16:00,Gürsel Aksel Stadium,Goztep,Kasimpasa,
255,29,12/04/2026 16:00,Besiktas Stadyumu,Besiktas,Antalyaspor,
256,29,12/04/2026 16:00,Alanya Oba Stadium,Alanyaspor,Trabzonspor,
257,29,12/04/2026 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Karagumruk,
258,29,12/04/2026 16:00,Rize City Stadium,Rizespor,Gaziantep,
259,29,12/04/2026 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Fenerbahce,
260,29,12/04/2026 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Genclerbirligi,
261,29,12/04/2026 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Kocaelispor,
262,30,19/04/2026 16:00,Atatürk Olympic Stadium,Karagumruk,Eyupspor,
263,30,19/04/2026 16:00,Antalya Stadium,Antalyaspor,Konyaspor,
264,30,19/04/2026 16:00,Samsun 19 Mayis Stadium,Samsunspor,Besiktas,
265,30,19/04/2026 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Alanyaspor,
266,30,19/04/2026 16:00,Papara Park,Trabzonspor,Istanbul Basaksehir,
267,30,19/04/2026 16:00,Kocaeli Stadium,Kocaelispor,Goztep,
268,30,19/04/2026 16:00,Eryaman Stadium,Genclerbirligi,Galatasaray,
269,30,19/04/2026 16:00,Ülker Stadium,Fenerbahce,Rizespor,
270,30,19/04/2026 16:00,Gaziantep Stadium,Gaziantep,Kayserispor,
271,31,26/04/2026 16:00,TBA,Eyupspor,Gaziantep,
272,31,26/04/2026 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kasimpasa,
273,31,26/04/2026 16:00,Gürsel Aksel Stadium,Goztep,Antalyaspor,
274,31,26/04/2026 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Trabzonspor,
275,31,26/04/2026 16:00,Alanya Oba Stadium,Alanyaspor,Samsunspor,
276,31,26/04/2026 16:00,Besiktas Stadyumu,Besiktas,Karagumruk,
277,31,26/04/2026 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Fenerbahce,
278,31,26/04/2026 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Rizespor,
279,31,26/04/2026 16:00,Eryaman Stadium,Genclerbirligi,Kocaelispor,
280,32,03/05/2026 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Eyupspor,
281,32,03/05/2026 16:00,Rize City Stadium,Rizespor,Konyaspor,
282,32,03/05/2026 16:00,Gaziantep Stadium,Gaziantep,Besiktas,
283,32,03/05/2026 16:00,Antalya Stadium,Antalyaspor,Alanyaspor,
284,32,03/05/2026 16:00,Ülker Stadium,Fenerbahce,Istanbul Basaksehir,
285,32,03/05/2026 16:00,Papara Park,Trabzonspor,Goztep,
286,32,03/05/2026 16:00,Samsun 19 Mayis Stadium,Samsunspor,Galatasaray,
287,32,03/05/2026 16:00,Atatürk Olympic Stadium,Karagumruk,Genclerbirligi,
288,32,03/05/2026 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Kocaelispor,
289,33,10/05/2026 16:00,TBA,Eyupspor,Rizespor,
290,33,10/05/2026 16:00,Eryaman Stadium,Genclerbirligi,Kasimpasa,
291,33,10/05/2026 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Antalyaspor,
292,33,10/05/2026 16:00,Besiktas Stadyumu,Besiktas,Trabzonspor,
293,33,10/05/2026 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Samsunspor,
294,33,10/05/2026 16:00,Kocaeli Stadium,Kocaelispor,Karagumruk,
295,33,10/05/2026 16:00,Gürsel Aksel Stadium,Goztep,Gaziantep,
296,33,10/05/2026 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Fenerbahce,
297,33,10/05/2026 16:00,Alanya Oba Stadium,Alanyaspor,Kayserispor,
298,34,17/05/2026 16:00,Ülker Stadium,Fenerbahce,Eyupspor,
299,34,17/05/2026 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Konyaspor,
300,34,17/05/2026 16:00,Rize City Stadium,Rizespor,Besiktas,
301,34,17/05/2026 16:00,Atatürk Olympic Stadium,Karagumruk,Alanyaspor,
302,34,17/05/2026 16:00,Gaziantep Stadium,Gaziantep,Istanbul Basaksehir,
303,34,17/05/2026 16:00,Samsun 19 Mayis Stadium,Samsunspor,Goztep,
304,34,17/05/2026 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Galatasaray,
305,34,17/05/2026 16:00,Papara Park,Trabzonspor,Genclerbirligi,
306,34,17/05/2026 16:00,Antalya Stadium,Antalyaspor,Kocaelispor,
